,var1(t),var1(t+1),var1(t+2),var1(t+3),var1(t+4),var1(t+5),var1(t+6),var1(t+7),var1(t+8),var1(t+9),var1(t+10),var1(t+11),var1(t+12),var1(t+13),var1(t+14),var1(t+15)
2018-09-09 11:00:00,32.68293,33.049170000000004,33.09915,33.274082,33.274292,32.83287,32.726612,32.238995,31.660652,31.025192,29.883840000000006,29.56401,28.099262,27.80631,25.203152,24.06285
2018-09-09 11:15:00,33.049170000000004,33.09915,33.274082,33.274292,32.83287,32.726612,32.238995,31.660652,31.025192,29.883840000000006,29.56401,28.099262,27.80631,25.203152,24.06285,22.424011
2018-09-09 11:30:00,33.09915,33.274082,33.274292,32.83287,32.726612,32.238995,31.660652,31.025192,29.883840000000006,29.56401,28.099262,27.80631,25.203152,24.06285,22.424011,20.312881
2018-09-09 11:45:00,33.274082,33.274292,32.83287,32.726612,32.238995,31.660652,31.025192,29.883840000000006,29.56401,28.099262,27.80631,25.203152,24.06285,22.424011,20.312881,18.164791
2018-09-09 12:00:00,33.274292,32.83287,32.726612,32.238995,31.660652,31.025192,29.883840000000006,29.56401,28.099262,27.80631,25.203152,24.06285,22.424011,20.312881,18.164791,15.913172
2018-09-09 12:15:00,32.83287,32.726612,32.238995,31.660652,31.025192,29.883840000000006,29.56401,28.099262,27.80631,25.203152,24.06285,22.424011,20.312881,18.164791,15.913172,13.638241
2018-09-09 12:30:00,32.726612,32.238995,31.660652,31.025192,29.883840000000006,29.56401,28.099262,27.80631,25.203152,24.06285,22.424011,20.312881,18.164791,15.913172,13.638241,11.249071
2018-09-09 12:45:00,32.238995,31.660652,31.025192,29.883840000000006,29.56401,28.099262,27.80631,25.203152,24.06285,22.424011,20.312881,18.164791,15.913172,13.638241,11.249071,8.883841
2018-09-09 13:00:00,31.660652,31.025192,29.883840000000006,29.56401,28.099262,27.80631,25.203152,24.06285,22.424011,20.312881,18.164791,15.913172,13.638241,11.249071,8.883841,6.50286
2018-09-09 13:15:00,31.025192,29.883840000000006,29.56401,28.099262,27.80631,25.203152,24.06285,22.424011,20.312881,18.164791,15.913172,13.638241,11.249071,8.883841,6.50286,4.34994
